Rental ID,Rental Date,Month,Day of Week,Season,Customer Type,Rental Item,Rental Duration,Quantity,Unit Price,Add-on,Add-on Revenue,Discount Amount,Total Revenue,Employee Name,Launch Site,Payment Method,Weather
WSR-2026-0001,2026-01-01,January,Thursday,Winter,Resort Guest,Fishing Kayak,2 Hours,1,50.00,None,0.00,0.00,50.00,Isaac Patel,Lagoon Launch,Credit Card,Sunny
WSR-2026-0002,2026-01-01,January,Thursday,Winter,Group/Event,Single Kayak,2 Hours,1,38.00,None,0.00,0.00,38.00,Finn Johnson,Harbor Dock,Credit Card,Rainy
WSR-2026-0003,2026-01-02,January,Friday,Winter,Online Booking,Fishing Kayak,Half Day,1,76.00,Phone Pouch,5.00,0.00,81.00,Emma Wilson,Harbor Dock,Credit Card,Sunny
WSR-2026-0004,2026-01-02,January,Friday,Winter,Resort Guest,Tandem Kayak,Half Day,1,78.00,Phone Pouch,5.00,0.00,83.00,Chloe Nguyen,Beachfront Hut,Credit Card,Sunny
WSR-2026-0005,2026-01-02,January,Friday,Winter,Walk-in,Surfboard,2 Hours,1,36.00,None,0.00,0.00,36.00,Isaac Patel,Resort Pier,Debit Card,Sunny
WSR-2026-0006,2026-01-02,January,Friday,Winter,Member,Tandem Kayak,2 Hours,1,52.00,None,0.00,5.20,46.80,Chloe Nguyen,Marina Kiosk,Debit Card,Rainy
WSR-2026-0007,2026-01-03,January,Saturday,Winter,Online Booking,Tandem Kayak,2 Hours,1,56.16,None,0.00,0.00,56.16,Ben Carter,Harbor Dock,Credit Card,Cloudy
WSR-2026-0008,2026-01-03,January,Saturday,Winter,Walk-in,Tandem Kayak,1 Hour,1,36.72,GoPro Mount,8.00,0.00,44.72,Ava Martinez,Lagoon Launch,Cash,Sunny
WSR-2026-0009,2026-01-03,January,Saturday,Winter,Walk-in,Snorkel Set,1 Hour,1,12.96,None,0.00,0.00,12.96,Mia Thompson,Marina Kiosk,Debit Card,Sunny
WSR-2026-0010,2026-01-04,January,Sunday,Winter,Group/Event,Tandem Kayak,2 Hours,1,56.16,None,0.00,5.62,50.54,Mia Thompson,Resort Pier,Debit Card,Cloudy
WSR-2026-0011,2026-01-04,January,Sunday,Winter,Walk-in,Single Kayak,Half Day,1,62.64,Premium Life Jacket,7.00,0.00,69.64,Hannah Brooks,Beachfront Hut,Credit Card,Sunny
WSR-2026-0012,2026-01-04,January,Sunday,Winter,Group/Event,Snorkel Set,1 Hour,1,12.96,None,0.00,1.30,11.66,Chloe Nguyen,Harbor Dock,Credit Card,Cloudy
WSR-2026-0013,2026-01-05,January,Monday,Winter,Online Booking,Surfboard,Half Day,1,54.00,Waterproof Speaker,12.00,3.30,62.70,Grace Lee,Resort Pier,Debit Card,Sunny
WSR-2026-0014,2026-01-08,January,Thursday,Winter,Online Booking,Stand-Up Paddle Board,1 Hour,1,26.00,GoPro Mount,8.00,0.00,34.00,Mia Thompson,Resort Pier,Cash,Windy
WSR-2026-0015,2026-01-08,January,Thursday,Winter,Group/Event,Fishing Kayak,Half Day,1,76.00,None,0.00,7.60,68.40,Emma Wilson,Resort Pier,Debit Card,Sunny
WSR-2026-0016,2026-01-08,January,Thursday,Winter,Resort Guest,Stand-Up Paddle Board,2 Hours,1,42.00,None,0.00,0.00,42.00,Isaac Patel,Beachfront Hut,Credit Card,Cloudy
WSR-2026-0017,2026-01-08,January,Thursday,Winter,Walk-in,Tandem Kayak,2 Hours,1,52.00,GoPro Mount,8.00,0.00,60.00,Isaac Patel,Harbor Dock,Gift Card,Sunny
WSR-2026-0018,2026-01-09,January,Friday,Winter,Resort Guest,Stand-Up Paddle Board,Half Day,1,62.00,None,0.00,0.00,62.00,Finn Johnson,Harbor Dock,Credit Card,Sunny
WSR-2026-0019,2026-01-09,January,Friday,Winter,Resort Guest,Pedal Boat,Half Day,1,86.00,Cooler Rental,10.00,0.00,96.00,Emma Wilson,Beachfront Hut,Credit Card,Cloudy
WSR-2026-0020,2026-01-09,January,Friday,Winter,Online Booking,Stand-Up Paddle Board,Half Day,1,62.00,Dry Bag,6.00,0.00,68.00,Isaac Patel,Beachfront Hut,Mobile Pay,Sunny
WSR-2026-0021,2026-01-09,January,Friday,Winter,Resort Guest,Stand-Up Paddle Board,Full Day,1,88.00,None,0.00,0.00,88.00,Emma Wilson,Harbor Dock,Debit Card,Sunny
